latitude,longitude
-6.1766740,35.7457953
-6.1742362,35.7436597
-6.1745430,35.7426985
-6.1743894,35.7431613
-6.1776804,35.7442078
-6.1760637,35.7447870
-6.1769474,35.7420970
-6.1602849,35.7606619
-6.1673068,35.7530802
-6.1616925,35.7539584
-6.1688916,35.7603263
-6.1596036,35.7488610
-6.1662864,35.7534842
-6.1629646,35.7525026
-6.1582814,35.7540198
-6.1617025,35.7531386
-6.1620215,35.7555003
-6.1691731,35.7609304
-6.1666180,35.7550691
-6.1634591,35.7556160
-6.1584167,35.7528934
-6.1664080,35.7550291
-6.1582533,35.7548812
-6.1649321,35.7529619
-6.1678198,35.7518501
-6.1672205,35.7550754
-6.1675181,35.7570767
-6.1583032,35.7536284
-6.1596165,35.7466316
-6.1690730,35.7606409
-6.1678717,35.7579828
-6.1617163,35.7550866
-6.1675756,35.7591055
-6.1674320,35.7507395
-6.1674550,35.7550424
-6.1677614,35.7589810
-6.1678731,35.7459872
-6.1606393,35.7477436
-6.1636347,35.7477016
-6.1665723,35.7453351
-6.1661683,35.7499263
-6.1621837,35.7612159
-6.1677307,35.7503703
-6.1667052,35.7457091
-6.1619944,35.7607130
-6.1631899,35.7508013
-6.1670312,35.7498681
-6.1655897,35.7462855
-6.1680030,35.7466682
-6.1621164,35.7490944
-6.1600679,35.7514847
-6.1640596,35.7610150
-6.1678598,35.7498360
-6.1629682,35.7524089
-6.1678481,35.7471354
-6.1603581,35.7484101
-6.1605498,35.7490225
-6.1678227,35.7478787
-6.1613273,35.7581927
-6.1585619,35.7570119
-6.1609325,35.7577859
-6.1643692,35.7487425
-6.1588523,35.7513273
-6.1669466,35.7451477
-6.1622737,35.7610871
-6.1682038,35.7457681
-6.1676474,35.7452560
-6.1604048,35.7511498
-6.1672773,35.7459661
-6.1618113,35.7484653
-6.1663490,35.7449182
-6.1610490,35.7494881
-6.1659869,35.7491004
-6.1671873,35.7533332
-6.1685660,35.7460314
-6.1667204,35.7477684
-6.1633825,35.7503332
-6.1693611,35.7478955
-6.1635996,35.7464936
-6.1667284,35.7497799
-6.1675172,35.7498761
-6.1694077,35.7460325
-6.1644796,35.7607012
-6.1636741,35.7490093
-6.1687975,35.7541823
-6.1680337,35.7548523
-6.1678245,35.7477796
-6.1614846,35.7586253
-6.1612688,35.7621233
-6.1672941,35.7498681
-6.1659808,35.7457259
-6.1675340,35.7507976
-6.1636410,35.7484680
-6.1655584,35.7486411
-6.1705116,35.7423782
-6.1756236,35.7382409
-6.1744190,35.7635277
-6.1706208,35.7423577
-6.1640745,35.7552977
-6.1913058,35.7521790
-6.1664243,35.7557822
-6.1731331,35.7427893
-6.1634884,35.7531713
-6.1750481,35.7631822
